TermID,Term
2028062,Allgemeines Künstlerlexikon Online / Artists of the World Online
2028126,Baltimore Daguerreans
2028186,Canadian Cencus- 1881
2028119,Canadian Census- 1871
2028199,Canadian Census- 1891
2028117,Canadian Census- 1901
2028200,Canadian Census- 1911
2028202,Canadian Census- 1921
2028163,Catalogue of Copyright Entries
2028088,City or Business Directory
2028009,Craig's Daguerreian Registry
2028184,Darrah: Cartes de Visite
2028104,Death Records
2028086,Directory of Civil War Photographers
2028064,Encyclopedia of Nineteenth-Century Photography
2028215,English Census- 1881
2028213,English Census- 1911
2028007,George Eastman House telnet database (No longer extant)
2028005,Heilbrunn Timeline of Art History
2028246,International Guide to Nineteenth Century Photographers and Their Works
2028238,Library of Congress Authorities
2028100,MnHS Directory of Minnesota Photographers
2028157,NYPL Clipping File
2028102,PAA Directory 1944-1945
2028121,PAA Directory 1948-1949
2028106,Photographers of the Pacific Northwest database
2028004,PhotographyDatabase.org
2028008,photoLondon.org.uk
2028065,Pioneer Photographers from the Mississippi to the Continental Divide
2028193,Pioneer Photographers of the Far West
2028180,Royal Commonwealth Society Index
2028190,State Census - 1892
2028149,State Census- 1855
2028152,State Census- 1865
2028097,State Census- 1875
2028095,State Census- 1885
2028113,State Census- 1895
2028108,State Census- 1905
2028089,State Census- 1915
2028110,State Census- 1925
2028150,State Census- 1935
2028006,Union List of Artist Names (Getty ULAN)
2028067,US Census- 1850
2028068,US Census- 1860
2028069,US Census- 1870
2028070,US Census- 1880
2028071,US Census- 1900
2028072,US Census- 1910
2028073,US Census- 1920
2028074,US Census- 1930
2028075,US Census- 1940
2028093,US MIlitary Records
2028236,Virtual International Authority File
2028247,Wikidata
2028094,Wikipedia
