TermID,Term
2028182,Cambridge University: RCS Collection
2028018,Center for Creative Photography
2028112,"Family of Man Museum, Clervaux Castle, Luxembourg"
2028287,George Eastman Museum
2028014,Getty Museum
2028241,International Center of Photography
2028019,Library of Congress
2028204,Metropolitan Museum of Art
2028271,Museo de Arte de Lima
2028015,Museum of Contemporary Photography Chicago
2028262,Museum of Jewish Heritage
2028219,Museum of Modern Art
2028021,National Portrait Gallery UK
2028022,National Portrait Gallery US
2028255,New York Historical Society
2028013,Niepce Museum
2028165,NYPL: Photography Collection
2028282,Philadelphia Art Museum
2028280,Tacoma Art Museum
