CountryID,WOFID
433,404528945
87,85632229
127,102191573
318,85632405
38,85632451
322,85632281
152,85632715
154,85632529
132,-1
43,85632505
96,85632773
324,85632295
131,102191569
428,-1
37,102191583
2,85632785
97,-1
328,85632717
150,85632339
329,85632167
155,85632475
149,85632491
439,404528797
332,85632395
98,-1
16,85632997
88,85632571
333,85632247
94,85632731
99,-1
100,85632623
426,-1
101,85632609
335,85632609
156,85632235
18,85633009
93,-1
157,85632749
102,85633001
158,85632213
159,85632359
160,85632245
10,85633041
161,85632611
162,85632391
429,85632313
343,85632325
65,85633057
53,85632695
44,85632519
347,85632259
348,85632481
41,85632487
135,85632449
141,-1
77,85633229
23,85632675
350,85632441
164,85632437
36,85633105
51,-1
163,85632643
20,85633121
165,85632503
137,85632713
146,-1
89,85632261
50,85632581
116,85632545
12,85633159
166,85632287
167,85632781
79,85633135
68,85632257
128,102191581
168,85632211
104,85632755
42,85633143
9,85633147
66,85632653
169,85632407
170,85632603
52,85633163
3,85633111
171,85632189
139,85633167
35,85632335
67,85633159
57,85633171
74,85633217
172,85632335
78,85632385
145,85632547
358,85632691
173,85632397
56,85632433
174,85632187
175,85632323
362,85632483
25,85633237
105,85633249
21,85632469
54,85632203
106,85632361
107,85632191
24,85633241
147,-1
49,85632315
4,85633253
45,85632215
5,85632429
33,-1
148,85632593
69,85632425
367,85632307
58,85632329
176,85632709
138,85633259
369,85632401
370,85632761
108,85632241
109,85633279
64,85632533
177,85632173
80,85632249
59,85632627
110,85633267
61,85633269
111,85633275
372,85632373
126,85632223
178,85632383
84,85632739
179,85632553
47,85633331
374,85632663
90,85632531
180,85632357
11,85633293
133,-1
73,85633285
379,85632439
380,85632667
181,85632677
134,-1
48,85632693
182,85632729
72,85632181
183,85632535
434,-1
143,85632465
39,85633337
184,85632473
46,85633345
112,85632599
113,85632735
386,85632517
32,-1
185,85632639
435,-1
22,85633341
431,-1
440,-1
114,85632659
390,85632331
91,85633739
60,85632179
186,85632347
391,85632355
29,85632521
28,85632509
13,85633723
17,85633735
136,-1
115,85633729
438,404528759
71,85633229
396,85632541
81,85633745
27,85632685
187,85632303
188,85632485
189,85632551
401,85632369
403,85632371
190,85632569
191,85632681
404,85633763
117,85632253
26,85633159
118,85632365
119,85633755
192,85632467
427,-1
76,85632605
120,85633769
121,85633779
193,85632591
194,85632379
19,85633813
130,102191577
122,85632231
437,-1
14,85633129
15,85632313
144,85632751
414,85632443
195,85632635
31,85633789
8,85633051
86,85632413
83,-1
7,85632403
95,85632227
6,85632293
432,-1
142,-1
196,85632647
197,85632455
151,85632271
70,85632703
30,85632393
82,85632671
420,85632205
422,85632169
153,85632625
34,85633805
430,-1
63,85632511
1,85633793
123,85632645
198,85632263
62,85632317
124,85632763
40,85633159
140,85632569
199,85632499
125,-1
200,85632559
92,-1
55,85632243
