ConstituentID,Nationality
610,Swiss
649,American
660,American
671,British
704,American
721,American
734,American
737,American
743,American
761,American
780,American
830,American
832,American
834,American
836,American
863,Russian
864,American
903,German
906,Spanish
908,American
924,American
925,British
926,American
946,English
948,American
952,English
960,American
968,English
973,English
974,German
990,French
997,French
998,American
999,American
1007,American
1065,French
1066,Spanish
1083,American
1087,American
1088,American
1090,American
1092,German
1096,American
1130,American
1162,Mexican
1170,German
1188,American
1190,American
1198,German
1202,American
1204,American
1219,American
1226,Austrian
1229,American
1232,American
1253,American
1265,American
1362,American
1363,British
1387,Italian
1388,American
1390,American
1398,Italian
1420,American
1440,American
1444,American
1445,American
1450,Palestinian
1455,Colombian
1467,American
1468,American
1474,Danish
1475,American
1476,American
1477,American
1530,German
1654,American
1655,American
1658,English
1659,American
1661,American
1662,American
1663,American
1664,American
1665,British
1666,American
1667,American
1668,American
1669,American
1670,Swiss
1671,American
1672,American
1673,American
1674,American
1675,American
1676,American
1680,American
1681,American
1682,American
1683,American
1684,German
1685,French
1686,American
1687,American
1688,American
1689,American
1690,American
1691,Canadian
1692,American
1693,American
1694,American
1695,American
1696,American
1697,German
1698,German
1699,American
1700,Swiss
1702,Greek
1703,American
1704,American
1705,German
1706,American
1707,American
1708,Canadian
1709,American
1711,Italian
1713,American
1714,American
1715,American
1716,American
1717,American
1718,American
1719,American
1720,American
1721,American
1722,British
1724,American
1726,American
1727,French
1728,American
1731,American
1732,French
1733,American
1734,American
1735,American
1736,American
1737,American
1739,English
1740,American
1741,American
1742,American
1743,American
1745,American
1746,English
1747,American
1748,Scottish
1756,French
1757,American
1758,Brazilian
1759,American
1760,Italian
1762,American
1763,American
1764,American
1765,American
1766,American
1769,Russian
1771,American
1773,American
1774,American
1776,Scottish
1778,Native American
1780,American
1782,American
1784,English
1785,Scottish
1786,German
1787,American
1789,Cuban
1790,English
1791,English
1792,Indian
1793,American
1797,Cuban
1798,American
1801,American
1802,American
1803,English
1804,American
1807,American
1808,American
1809,Brazilian
1810,American
1811,American
1812,American
1813,American
1815,American
1816,American
1817,American
1818,American
1819,Canadian
1820,American
1822,American
1824,American
2367,American
2368,English
2369,American
2370,American
2371,American
2372,American
2373,American
2374,American
2375,American
2376,American
2377,American
2379,American
2380,American
2381,American
2382,American
2383,French
2384,Italian
2385,American
2386,Canadian
2387,American
2388,American
2389,American
2390,American
2391,American
2392,American
2393,American
2394,American
2395,American
2396,American
2397,American
2399,English
2400,American
2401,American
2402,American
2403,American
2404,American
2405,American
2406,American
2407,American
2408,Italian
2409,American
2410,American
2411,American
2412,American
2414,American
2415,American
2417,Scottish
2418,American
2419,English
2420,American
2422,German
2423,Indian
2424,American
2425,American
2426,American
2427,American
2428,American
2429,American
2431,American
2433,American
2434,Javanese
2435,German
2436,Dutch
2437,Dutch
2438,American
2441,American
2442,Irish
2444,American
2446,American
2447,American
2448,American
2449,American
2450,American
2451,American
2452,American
2453,American
2456,Peruvian
2457,Italian
2458,French
2459,English
2460,American
2461,Scottish
2464,American
2465,American
2467,American
2,American
20,German
21,American
28,American
54,Portuguese
63,American
67,German
79,American
82,American
83,American
85,Scottish
143,English
144,Scottish
145,American
146,French
148,English
155,Scottish
175,American
177,American
195,American
237,American
242,American
257,American
261,American
264,American
268,American
273,Japanese
305,American
308,Norwegian
316,American
347,American
349,Austrian
361,Japanese
377,English
381,English
383,English
387,British
392,British
405,Swiss
407,South African
427,American
430,American
432,American
433,American
441,German
446,French
455,French
460,American
470,German
485,German
489,American
490,Greek
503,American
515,American
520,American
552,American
1825,Belgian
1826,American
1827,American
1828,American
1829,French
1830,American
1831,American
1832,French
1833,American
1834,American
1835,American
1836,French
1837,American
1838,American
1839,German
1840,American
1844,French
1846,American
1847,American
1848,American
1849,American
1850,German
1853,German
1856,French
1857,American
1858,American
1859,French
1860,English
1861,American
1862,American
1863,German
1864,English
1865,German
1866,French
1867,American
1868,Cuban
1870,American
1871,English
1872,English
1873,English
1874,American
1875,Venezuelan
1876,American
1877,American
1879,American
1881,American
1885,American
1887,American
1888,Belgian
1889,American
1890,French
1891,American
1892,American
1893,American
1895,Italian
1896,British
1897,Hungarian
1898,Hungarian
1899,American
1900,American
1901,American
1902,German
1903,German
1904,English
1911,American
1912,French
1913,American
1914,English
1916,American
1919,Israeli
1920,German
1923,Austrian
1925,American
1926,American
1928,American
1929,American
1930,American
1931,American
1932,American
1933,American
1934,Australian
1936,French
1937,American
1938,American
1939,American
1940,American
1941,American
1942,American
1943,American
1944,American
1946,British
1947,American
1949,American
1950,American
1951,American
1952,American
1953,American
1954,American
1955,American
1958,Swedish
1959,French
1961,French
1962,American
1963,American
1965,American
1966,American
1967,American
1968,American
1969,American
1971,American
1972,American
1973,American
1974,American
1976,American
1977,American
1978,American
1979,American
1980,American
1981,French
1982,American
1983,American
1984,American
1985,American
1986,American
1987,American
1988,American
1989,American
1990,American
1991,American
1992,American
1994,American
1995,American
1996,American
1997,American
1998,American
1999,American
2000,American
2001,American
2002,American
2003,American
2004,American
2005,English
2006,Japanese
2007,Japanese
2008,American
2009,American
2010,American
2011,English
2012,American
2013,American
2014,American
2015,American
2016,American
2017,American
2018,American
2019,American
2020,American
2021,American
2022,American
2023,American
2024,American
2025,American
2027,American
2028,Czechoslovakian
2029,American
2030,American
2031,American
2032,American
2033,American
2034,American
2035,American
2036,American
2037,American
2038,American
2039,American
2040,American
2041,American
2042,American
2043,American
2044,American
2045,American
2046,American
2047,American
2048,American
2049,American
2050,American
2051,American
2052,American
2053,American
2054,French
2055,American
2056,American
2058,American
2059,American
2060,Scottish
2061,English
2062,English
2063,English
2064,English
2065,English
2066,British
2067,Scottish
2068,English
2069,English
2070,English
2071,English
2072,English
2074,American
2075,American
2076,Mexican
2077,American
2078,American
2079,American
2080,German
2081,American
2082,American
2083,American
2084,American
2085,Japanese
2086,American
2087,American
2088,American
2089,American
2090,American
2092,American
2093,American
2094,American
2095,American
2096,American
2097,American
2100,American
2101,American
2102,American
2103,American
2104,American
2105,American
2106,American
2107,American
2108,American
2109,American
2111,American
2112,Portuguese
2113,American
2115,American
2116,American
2118,American
2119,American
2120,American
2121,American
2122,American
2123,American
2124,American
2125,American
2126,American
2127,American
2128,American
2129,American
2130,French
2131,American
2132,American
2133,American
2134,Norwegian
2135,American
2136,French
2137,English
2138,Canadian
2140,American
2141,American
2143,American
2144,American
2145,American
2146,American
2147,American
2148,British
2149,American
2150,American
2152,American
2153,American
2154,American
2156,American
2157,American
2160,American
2161,American
2162,American
2163,American
2164,British
2167,American
2169,American
2170,English
2171,American
2172,English
2173,American
2174,American
2175,Chilean
2176,American
2177,American
2178,German
2179,American
2180,Canadian
2181,American
2182,American
2184,American
2185,American
2186,American
2187,American
2188,American
2189,American
2190,American
2191,American
2192,American
2193,American
2194,American
2195,American
2196,American
2197,Canadian
2198,American
2199,American
2200,American
2201,American
2202,American
2203,American
2204,American
2205,American
2206,American
2207,American
2209,American
2210,American
2211,German
2212,French
2213,American
2214,American
2215,British
2216,American
2217,American
2218,American
2220,American
2221,American
2222,American
2223,American
2224,American
2225,American
2226,American
2228,American
2229,American
2230,American
2231,American
2232,English
2233,Dutch
2234,Scottish
2235,American
2236,Cuban
2237,English
2239,American
2241,American
2242,American
2244,American
2245,American
2248,French
2250,American
2251,American
2253,American
2254,English
2255,American
2256,American
2257,American
2259,English
2260,Irish
2261,Spanish
2262,Spanish
2263,Welsh
2264,Spanish
2265,American
2266,American
2267,American
2268,American
2269,American
2270,American
2271,English
2272,American
2273,English
2275,American
2278,American
2279,American
2280,American
2281,Lithuanian
2282,Italian
2283,Italian
2284,French
2285,French
2286,Italian
2287,Italian
2289,American
2290,American
2291,American
2292,American
2293,American
2294,American
2295,American
2297,American
2298,American
2299,Czechoslovakian
2300,American
2303,American
2304,American
2307,American
2308,French
2309,American
2312,American
2313,American
2316,French
2319,American
2320,American
2321,American
2324,German
2325,American
2327,American
2329,South African
2331,American
2332,American
2333,American
2334,American
2335,American
2336,American
2338,English
2339,French
2340,American
2341,American
2342,American
2343,American
2344,American
2345,Canadian
2346,American
2350,American
2362,French
2364,Canadian
