ConstituentID,TermID
392,2028047
433,2028047
489,2028047
649,2028047
649,2028146
649,2028234
660,2028047
660,2028146
1202,2028047
1202,2028145
1253,2028047
1253,2028145
1801,2028047
1802,2028047
1802,2028145
1804,2028047
1810,2028047
1810,2028145
1811,2028047
1812,2028048
1813,2028047
1813,2028048
1818,2028048
1819,2028048
1819,2028053
1820,2028048
1826,2028047
1827,2028047
1827,2028146
1828,2028047
1828,2028243
1829,2028047
1829,2028179
1830,2028047
1835,2028234
1836,2028048
1836,2028049
1838,2028145
1844,2028046
1844,2028048
1844,2028162
1844,2028172
1846,2028047
1846,2028179
1846,2028234
1852,2028048
1853,2028047
1853,2028048
1860,2028048
1861,2028048
1862,2028047
1862,2028048
1863,2028048
1868,2028047
1868,2028048
1869,2028047
1870,2028179
1871,2028048
1876,2028047
1877,2028048
1879,2028047
1879,2028048
1885,2028048
1887,2028047
1888,2028145
1893,2028047
1895,2028048
1895,2028155
1902,2028145
1903,2028048
1911,2028047
1911,2028145
1912,2028047
1913,2028047
1919,2028145
1928,2028047
1929,2028047
1929,2028234
1930,2028047
1930,2028048
1930,2028234
1936,2028047
1936,2028048
1937,2028048
1938,2028047
1943,2028047
1943,2028145
1944,2028047
1944,2028145
1947,2028048
1947,2028053
1952,2028048
1953,2028047
1953,2028048
1955,2028046
1961,2028048
1962,2028047
1962,2028145
1968,2028047
1971,2028047
1972,2028047
1977,2028047
1978,2028166
1979,2028047
1979,2028048
1985,2028047
1985,2028179
1986,2028047
1987,2028047
1988,2028047
1994,2028047
1995,2028047
1996,2028047
1997,2028047
2002,2028047
2004,2028047
2005,2028047
2005,2028145
2010,2028146
2010,2028243
2011,2028047
2011,2028179
2012,2028047
2013,2028145
2019,2028145
2020,2028145
2021,2028047
2022,2028047
2022,2028145
2027,2028047
2028,2028047
2029,2028047
2030,2028047
2035,2028047
2035,2028243
2036,2028145
2037,2028047
2038,2028047
2044,2028047
2045,2028047
2046,2028047
2047,2028047
2052,2028047
2052,2028179
2052,2028234
2053,2028047
2053,2028179
2053,2028234
2054,2028047
2054,2028179
2054,2028234
2055,2028047
2060,2028049
2060,2028155
2061,2028048
2061,2028234
2062,2028048
2063,2028179
2063,2028234
2069,2028048
2070,2028049
2071,2028048
2071,2028155
2072,2028047
2077,2028047
2078,2028047
2078,2028243
2079,2028047
2080,2028179
2080,2028234
2085,2028047
2086,2028145
2087,2028047
2088,2028047
2089,2028145
2094,2028145
2095,2028243
2096,2028047
2097,2028145
2102,2028047
2103,2028047
2104,2028047
2105,2028047
2105,2028234
2110,2028047
2112,2028047
2113,2028047
2113,2028166
2120,2028047
2121,2028047
2122,2028047
2122,2028145
2127,2028047
2128,2028047
2129,2028047
2130,2028048
2136,2028243
2137,2028048
2138,2028047
2144,2028047
2464,2028179
2464,2028234
2465,2028047
2470,2028145
2472,2028145
2478,2028047
2478,2028048
2479,2028047
2479,2028048
2479,2028162
2479,2028234
2480,2028048
2481,2028048
2486,2028047
2487,2028047
2487,2028048
2488,2028146
2488,2028243
2489,2028243
2490,2028047
